GridID,Category,SubstGroup,Substance,Type,Tissue,Unit,BASIS,Threshold,Value,CR
100kmE36N35,Water,Metals,NI,,,µg/l,,8.6,0.1987,0.023104651
100kmE36N35,Water,Metals,PB,,,µg/l,,1.3,0.042303333,0.032541026
100kmE36N36,Water,Metals,CU,,,µg/l,,0.02,0.12945,6.4725
100kmE36N36,Water,Metals,NI,,,µg/l,,8.6,0.1848,0.021488372
100kmE36N36,Water,Metals,PB,,,µg/l,,1.3,0.02211,0.017007692
100kmE36N37,Water,PAHs,ANT,,,µg/l,,0.1,2.25E-06,2.25E-05
100kmE36N37,Water,PAHs,BAP,,,µg/l,,0.00017,5.50E-06,0.032352941
100kmE36N37,Water,PCBs,CB138,,,µg/l,,2.00E-05,1.60E-06,0.08
100kmE36N37,Water,PCBs,CB153,,,µg/l,,0.001,2.15E-06,0.00215
100kmE36N37,Water,Metals,CU,,,µg/l,,0.02,0.12435,6.2175
100kmE36N37,Water,Other organohalogens,DDTPP,,,µg/l,,0.01,1.80E-07,1.80E-05
100kmE36N37,Water,Other organohalogens,DDTSUM,,,µg/l,,0.025,8.73E-07,3.49E-05
100kmE36N37,Water,Other organohalogens,DLDALD,,,µg/l,,0.005,1.05E-05,0.0020955
100kmE36N37,Water,PAHs,FLU,,,µg/l,,0.0063,5.24E-05,0.008316667
100kmE36N37,Water,Other organohalogens,HCHSUM,,,µg/l,,0.002,7.68E-05,0.03838
100kmE36N37,Water,PAHs,NAP,,,µg/l,,2,0.001039815,0.000519908
100kmE36N37,Water,Metals,NI,,,µg/l,,8.6,0.18155,0.021110465
100kmE36N37,Water,PAHs,PA,,,µg/l,,1.3,0.00020468,0.000157446
100kmE36N37,Water,Metals,PB,,,µg/l,,1.3,0.03446,0.026507692
100kmE36N37,Water,PAHs,PYR,,,µg/l,,0.023,1.78E-05,0.000771739
100kmE36N37,Water,Organochlorines,QCB,,,µg/l,,7.00E-04,1.10E-06,0.001571429
100kmE36N37,Water,Organochlorines,TRF,,,µg/l,,0.03,6.76E-06,0.00022525
100kmE36N38,Water,Metals,CU,,,µg/l,,0.02,0.122625,6.13125
100kmE36N38,Water,Metals,NI,,,µg/l,,8.6,0.19185,0.02230814
100kmE36N38,Water,Metals,PB,,,µg/l,,1.3,0.03446,0.026507692
100kmE36N39,Water,PAHs,ANT,,,µg/l,,0.1,2.25E-06,2.25E-05
100kmE36N39,Water,PAHs,BAP,,,µg/l,,0.00017,3.00E-06,0.017647059
100kmE36N39,Water,PCBs,CB138,,,µg/l,,2.00E-05,4.40E-07,0.022
100kmE36N39,Water,PCBs,CB153,,,µg/l,,0.001,1.20E-06,0.0012
100kmE36N39,Water,Metals,CU,,,µg/l,,0.02,0.0918375,4.591875
100kmE36N39,Water,Other organohalogens,DDTPP,,,µg/l,,0.01,1.80E-07,1.80E-05
100kmE36N39,Water,Other organohalogens,DDTSUM,,,µg/l,,0.025,8.28E-07,3.31E-05
100kmE36N39,Water,Other organohalogens,DLDALD,,,µg/l,,0.005,9.63E-06,0.0019255
100kmE36N39,Water,PAHs,FLU,,,µg/l,,0.0063,1.89E-05,0.002999206
100kmE36N39,Water,Other organohalogens,HCHSUM,,,µg/l,,0.002,6.14E-05,0.03068
100kmE36N39,Water,PAHs,NAP,,,µg/l,,2,0.00073475,0.000367375
100kmE36N39,Water,Metals,NI,,,µg/l,,8.6,0.176125,0.020479651
